name,date_utc,success,rocket,flight_number,year,success_flag,decade,launch_count,launch_share
CRS-24,2021-12-21 10:06:00+00:00,True,5e9d0d95eda69973a809d1ec,143,2021,1,2020s,115,0.008695652173913044
Starlink 4-5 (v1.5),2022-01-06 21:49:00+00:00,True,5e9d0d95eda69973a809d1ec,144,2022,1,2020s,115,0.008695652173913044
Transporter-3,2022-01-13 15:25:00+00:00,True,5e9d0d95eda69973a809d1ec,145,2022,1,2020s,115,0.008695652173913044
Starlink 4-6 (v1.5),2022-01-19 00:04:00+00:00,True,5e9d0d95eda69973a809d1ec,146,2022,1,2020s,115,0.008695652173913044
CSG-2,2022-01-31 23:11:12+00:00,True,5e9d0d95eda69973a809d1ec,147,2022,1,2020s,115,0.008695652173913044
NROL-87,2022-02-02 20:18:00+00:00,True,5e9d0d95eda69973a809d1ec,148,2022,1,2020s,115,0.008695652173913044
Starlink 4-7 (v1.5),2022-02-03 18:13:00+00:00,True,5e9d0d95eda69973a809d1ec,149,2022,1,2020s,115,0.008695652173913044
Starlink 4-8 (v1.5),2022-02-21 14:44:00+00:00,True,5e9d0d95eda69973a809d1ec,150,2022,1,2020s,115,0.008695652173913044
Starlink 4-11 (v1.5),2022-02-25 17:12:00+00:00,True,5e9d0d95eda69973a809d1ec,151,2022,1,2020s,115,0.008695652173913044
Starlink 4-9 (v1.5),2022-03-03 14:35:00+00:00,True,5e9d0d95eda69973a809d1ec,152,2022,1,2020s,115,0.008695652173913044
Starlink 4-10 (v1.5),2022-03-09 13:45:00+00:00,True,5e9d0d95eda69973a809d1ec,153,2022,1,2020s,115,0.008695652173913044
Starlink 4-12 (v1.5),2022-03-19 03:24:00+00:00,True,5e9d0d95eda69973a809d1ec,154,2022,1,2020s,115,0.008695652173913044
Transporter-4,2022-04-01 16:24:00+00:00,True,5e9d0d95eda69973a809d1ec,155,2022,1,2020s,115,0.008695652173913044
Ax-1,2022-04-08 15:17:00+00:00,True,5e9d0d95eda69973a809d1ec,156,2022,1,2020s,115,0.008695652173913044
NROL-85,2022-04-17 13:13:00+00:00,True,5e9d0d95eda69973a809d1ec,157,2022,1,2020s,115,0.008695652173913044
Starlink 4-14 (v1.5),2022-04-21 15:16:00+00:00,True,5e9d0d95eda69973a809d1ec,158,2022,1,2020s,115,0.008695652173913044
Crew-4,2022-04-27 07:52:00+00:00,True,5e9d0d95eda69973a809d1ec,159,2022,1,2020s,115,0.008695652173913044
Starlink 4-16 (v1.5),2022-04-29 21:27:00+00:00,True,5e9d0d95eda69973a809d1ec,160,2022,1,2020s,115,0.008695652173913044
Starlink 4-17 (v1.5),2022-05-06 09:42:00+00:00,True,5e9d0d95eda69973a809d1ec,161,2022,1,2020s,115,0.008695652173913044
Starlink 4-13 (v1.5),2022-05-13 22:07:00+00:00,True,5e9d0d95eda69973a809d1ec,162,2022,1,2020s,115,0.008695652173913044
Starlink 4-15 (v1.5),2022-05-14 20:40:00+00:00,True,5e9d0d95eda69973a809d1ec,163,2022,1,2020s,115,0.008695652173913044
Starlink 4-18 (v1.5),2022-05-18 10:40:00+00:00,True,5e9d0d95eda69973a809d1ec,164,2022,1,2020s,115,0.008695652173913044
Transporter-5,2022-05-25 18:27:00+00:00,True,5e9d0d95eda69973a809d1ec,165,2022,1,2020s,115,0.008695652173913044
Nilesat-301,2022-06-08 21:04:00+00:00,True,5e9d0d95eda69973a809d1ec,166,2022,1,2020s,115,0.008695652173913044
Starlink 4-19 (v1.5),2022-06-01 17:08:50+00:00,True,5e9d0d95eda69973a809d1ec,167,2022,1,2020s,115,0.008695652173913044
SARah 1,2022-06-18 14:19:00+00:00,True,5e9d0d95eda69973a809d1ec,168,2022,1,2020s,115,0.008695652173913044
Globalstar FM15,2022-06-19 04:27:00+00:00,True,5e9d0d95eda69973a809d1ec,169,2022,1,2020s,115,0.008695652173913044
SES-22,2022-06-29 21:04:00+00:00,True,5e9d0d95eda69973a809d1ec,170,2022,1,2020s,115,0.008695652173913044
Starlink 4-21 (v1.5),2022-07-07 13:11:00+00:00,True,5e9d0d95eda69973a809d1ec,171,2022,1,2020s,115,0.008695652173913044
Starlink 3-1 (v1.5),2022-07-11 01:39:00+00:00,False,5e9d0d95eda69973a809d1ec,172,2022,0,2020s,115,0.008695652173913044
CRS-25,2022-07-15 00:44:00+00:00,True,5e9d0d95eda69973a809d1ec,173,2022,1,2020s,115,0.008695652173913044
Starlink 4-22 (v1.5),2022-07-17 14:50:00+00:00,True,5e9d0d95eda69973a809d1ec,174,2022,1,2020s,115,0.008695652173913044
Starlink 3-2 (v1.5),2022-07-21 17:13:00+00:00,True,5e9d0d95eda69973a809d1ec,175,2022,1,2020s,115,0.008695652173913044
Starlink 4-25 (v1.5),2022-07-24 00:00:00+00:00,True,5e9d0d95eda69973a809d1ec,176,2022,1,2020s,115,0.008695652173913044
KPLO,2022-08-04 23:08:00+00:00,True,5e9d0d95eda69973a809d1ec,177,2022,1,2020s,115,0.008695652173913044
Starlink 4-26 (v1.5),2022-08-09 22:57:00+00:00,True,5e9d0d95eda69973a809d1ec,178,2022,1,2020s,115,0.008695652173913044
Starlink 3-3 (v1.5),2022-08-12 21:30:00+00:00,True,5e9d0d95eda69973a809d1ec,179,2022,1,2020s,115,0.008695652173913044
Starlink 4-27 (v1.5),2022-08-19 19:24:00+00:00,True,5e9d0d95eda69973a809d1ec,180,2022,1,2020s,115,0.008695652173913044
Starlink 4-23 (v1.5),2022-08-28 02:22:00+00:00,True,5e9d0d95eda69973a809d1ec,181,2022,1,2020s,115,0.008695652173913044
Starlink 3-4 (v1.5),2022-08-31 05:40:00+00:00,True,5e9d0d95eda69973a809d1ec,182,2022,1,2020s,115,0.008695652173913044
Starlink 4-20 (v1.5) & Sherpa LTC-2/Varuna-TDM,2022-09-05 02:09:00+00:00,True,5e9d0d95eda69973a809d1ec,183,2022,1,2020s,115,0.008695652173913044
Starlink 4-2 (v1.5) & Blue Walker 3,2022-09-11 01:10:00+00:00,True,5e9d0d95eda69973a809d1ec,184,2022,1,2020s,115,0.008695652173913044
Starlink 4-34 (v1.5),2022-09-17 01:05:00+00:00,True,5e9d0d95eda69973a809d1ec,185,2022,1,2020s,115,0.008695652173913044
Starlink 4-35 (v1.5),2022-09-24 23:30:00+00:00,True,5e9d0d95eda69973a809d1ec,186,2022,1,2020s,115,0.008695652173913044
Crew-5,2022-10-05 16:00:00+00:00,True,5e9d0d95eda69973a809d1ec,187,2022,1,2020s,115,0.008695652173913044
USSF-44,2022-11-01 13:41:00+00:00,False,5e9d0d95eda69974db09d1ed,188,2022,0,2020s,115,0.008695652173913044
Hotbird 13G,2022-11-03 03:24:00+00:00,False,5e9d0d95eda69973a809d1ec,189,2022,0,2020s,115,0.008695652173913044
Galaxy 31 (23R) & 32 (17R),2022-11-08 00:00:00+00:00,False,5e9d0d95eda69973a809d1ec,191,2022,0,2020s,115,0.008695652173913044
Eutelsat 10B,2022-11-15 00:00:00+00:00,False,5e9d0d95eda69973a809d1ec,192,2022,0,2020s,115,0.008695652173913044
ispace Mission 1 & Rashid,2022-11-22 00:00:00+00:00,False,5e9d0d95eda69973a809d1ec,193,2022,0,2020s,115,0.008695652173913044
CRS-26,2022-11-18 22:00:00+00:00,False,5e9d0d95eda69973a809d1ec,194,2022,0,2020s,115,0.008695652173913044
Starlink 4-37 (v1.5),2022-11-01 00:00:00+00:00,False,5e9d0d95eda69973a809d1ec,195,2022,0,2020s,115,0.008695652173913044
"O3b mPower 1,2",2022-11-01 00:00:00+00:00,False,5e9d0d95eda69973a809d1ec,196,2022,0,2020s,115,0.008695652173913044
SWOT,2022-12-05 00:00:00+00:00,False,5e9d0d95eda69973a809d1ec,197,2022,0,2020s,115,0.008695652173913044
SES-18 & SES-19,2022-11-01 00:00:00+00:00,False,5e9d0d95eda69973a809d1ec,198,2022,0,2020s,115,0.008695652173913044
TTL-1,2022-12-01 00:00:00+00:00,False,5e9d0d95eda69973a809d1ec,199,2022,0,2020s,115,0.008695652173913044
